bacati,baciti
priljubiti,priljubljivati
primaknuti,primicati
primamiti,primamljivati
primicati,primaknuti
primijeniti,primjenjivati
primijetiti,primjećivati
primiti,primati
primjenjivati,primijeniti
primjećivati,primijetiti
primorati,primoravati
primoravati,primorati
priopćavati,priopćiti
priopćiti,priopćavati
pripadati,pripasti
pripasti,pripadati
pripisati,pripisivati
pripisivati,pripisati
pripitomiti,pripitomljivati
pripojiti,pripajati
pripomenuti,pripominjati
pripovijedati,pripovjediti
pripovjediti,pripovijedati
pripraviti,pripravljati
pripravljati,pripraviti
pripremati,pripremiti
pripremiti,pripremati
prisegnuti,prisezati
prisezati,prisegnuti
prisiliti,prisiljavati
prisiljavati,prisiliti
prisjetiti,prisjećati
prisjećati,prisjetiti
prisloniti,prislanjati
pristajati,pristati
pristati,pristajati
pristaviti,pristavljati
pristupiti,pristupati
pritiskati,pritisnuti
pritiskivati,pritisnuti
pritisnuti,pritiskati
pritvoriti,pritvarati
priuštiti,priušćivati
privezati,privezivati
priviknuti,privikavati
privući,privlačiti
prizivati,prizvati
priznati,priznavati
priznavati,priznati
prizvati,prizivati
prići,prilaziti
pričekati,pričekivati
pričiniti,pričinjavati
pričinjavati,pričiniti
pričvrstiti,pričvršćivati
probadati,probosti
probaviti,probavljati
probijati,probiti
probiti,probijati
probosti,probadati
probuditi,probuđivati
procijeniti,procjenjivati
procjenjivati,procijeniti
procuriti,procurivati
prodati,prodavati
prodavati,prodati
prodirati,prodrijeti
prodrijeti,prodirati
proglasiti,proglašavati
proglašavati,proglasiti
prognati,progoniti
progoniti,prognati
progovarati,progovoriti
progovoriti,progovarati
progristi,progrizati
progutati,progutavati
proizvesti,proizvoditi
proizvoditi,proizvesti
projuriti,projurivati
prokleti,proklinjati
proklinjati,prokleti
prokopati,prokopavati
prokopavati,prokopati
prokušati,prokušavati
prolomiti,prolamati
promaknuti,promicati
promatrati,promotriti
promašiti,promašivati
promicati,promaknuti
promijeniti,promjenjivati
promisliti,promišljati
promišljati,promisliti
promotriti,promatrati
pronaći,pronalaziti
pronevjeriti,pronevjeravati
proniknuti,pronicati
propadati,propasti
propasti,propadati
propisati,propisivati
propisivati,propisati
propiti,propijati
proplakati,proplakivati
propustiti,propuštati
propuštati,propustiti
proraditi,prorađivati
proreći,proricati
prostrijeti,prostirati
proteći,protjecati
protjecati,proticati
protjerati,protjeravati
protjerivati,protjerati
proučavati,proučiti
proučiti,proučavati
provaliti,provaljivati
provesti,provoditi
provjeravati,provjeriti
provjeriti,provjeravati
provoditi,provesti
provoziti,provesti
prozivati,prozvati
prozvati,prozivati
proći,prolaziti
čitati,pročitati
prošetati,šetati
proširiti,proširivati
proširivati,proširiti
prožeti,prožimati
prožimati,prožeti
pružati,pružiti
pružiti,pružati
pucati,puknuti
puhati,puhnuti
puknuti,pucati
pustiti,puštati
puštati,pustiti
raditi,uraditi
raniti,ranjavati
rascijepati,rascjepljivati
rascijepiti,rascjepljivati
raseliti,raseljavati
raseljavati,raseliti
rashladiti,rashlađivati
rasipati,rasipavati
rasjeći,rasijecati
raskidati,raskinuti
raskinuti,raskidati
raskoliti,raskoljivati
raskrstiti,raskrštavati
raspadati,raspasti
raspasti,raspadati
raspetljavati,raspetljati
raspisati,raspisivati
raspisivati,raspisati
rasplakati,rasplakivati
rasplamsati,rasplamsavati
rasplesti,raspletati
raspletati,rasplesti
podijeliti,dijeliti
raspodijeliti,raspodjeljivati
raspoloviti,raspolavljati
rasporediti,raspoređivati
raspoređivati,rasporediti
raspoznati,raspoznavati
raspoznavati,raspoznati
raspraviti,raspravljati
raspravljati,raspraviti
raspršiti,raspršivati
raspustiti,raspuštati
rasrditi,rasrđivati
rastapati,rastopiti
rastati,rastajati
rastaviti,rastavljati
rastavljati,rastaviti
rasteretiti,rasterećivati
rastjerati,rastjerivati
rastopiti,rastapati
rastužiti,rastuživati
rastvarati,rastvoriti
rastvoriti,rastvarati
rasuti,rasipati
razabrati,razabirati
crtati,nacrtati
razapeti,razapinjati
razarati,razoriti
razasuti,razasipati
razaznati,razaznavati
razaznavati,razaznati
razbacati,razbacivati
razbistriti,razbistrivati
razbiti,razbijati
razblažiti,razblaživati
razboljeti,razbolijevati
razbuditi,razbuđivati
razbuđivati,razbuditi
razdati,razdavati
razderati,razdirati
razdijeliti,razdjeljivati
razdražiti,razdraživati
razdraživati,razdražiti
razdvajati,razdvojiti
razdvojiti,razdvajati
razgaliti,razgaljivati
razglasiti,razglašavati
razglobiti,razglabati
razgolititi,razgolićivati
požuriti,žuriti
razići,razilaziti
razjariti,razjarivati
razjediniti,razjedinjavati
razljutiti,razljućivati
razložiti,razlagati
razlučiti,razlučivati
razmaknuti,razmicati
razmatrati,razmotriti
razmaziti,razmazivati
razmicati,razmaknuti
razmijeniti,razmjenjivati
razmisliti,razmišljati
razmišljati,razmisliti
razmjenjivati,razmijeniti
razmnožavati,razmnožiti
razmnožiti,razmnožavati
razmotati,razmotavati
razmotriti,razmatrati
raznijeti,raznositi
